,Avg systolic BP,Avg diastolic BP,Avg estimated MAP ,Weight at pw26 ,Height at pw26,Midarm circumference at pw26,Triceps skinfold at pw26,Biceps skinfold at pw26,Subscapular skinfold at pw26,Suprailiac skinfold at pw26,Avg antenatal weight 1st tri ,Avg antenatal weight 2nd tri,Avg antenatal weight 3rd tri ,Last antenatal weight,Sodium  ,Magnesium   ,Phosphorus ,Potassium,Calcium ,Iron ,Ferritin ,Copper,Zinc ,Selenium ,Transferrin receptor ,Myristic,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,cis-Vaccenic acid ,Linoleic acid,Linolenic acid (n-6) ,Linolenic acid (n-3)  ,Arachidic acid ,Gondoic acid ,Eicosadienoic acid  ,DGLA ,Arachidonic ,Behenic acid,ETA ,EPA ,Adrenic acid ,DPA ,DHA,Total FA ,Total n-3,Total n-6 ,SFA ,MUFA ,PUFA ,Triglycerides,Total cholesterol,HDL-cholesterol ,LDL-cholesterol,Flavin mononucleotide,Riboflavin ,N1-methylnicotinamide  ,Nicotinamide,Trigonelline ,Pyridoxal,Pyridoxal 5-phosphate ,Pyridoxic acid,Folate,Vitamin B12,Vitamin D3,Arginine,Asymmetric dimethylarginine ,Creatine,Creatinine ,Homoarginine,Symmetric dimethylarginine,Trimethyllysine ,Cystathionine ,Total Homocysteine ,Total cysteine ,1-Methylhistidine ,3-Methylhistidine ,Histidine ,Methionine ,Methionine sulfoxide ,3-Hydroxyanthranilic acid ,3-Hydroxykynurenine ,Anthranilic acid ,Kynurenic acid ,Kynurenine ,Quinolinic acid ,Tryptophan ,Xanthurenic acid ,Betaine ,Choline ,Dimethylglycine ,Trimethylamineoxide,Fasting glucose,2-hour glucose,Adiponectin,PAI-1,Resistin,MCP-1,FSH,GH,LH,TSH,IGF-I,IGF-II,IGFBP-1,IGFBP-3,IGFBP-7,C-peptide,Leptin,TNF-a,IGFBP-4,Insulin,Aspartate transaminase,C-reactive protein,Alanine transaminase ,Uric acid,Neopterin ,PFBA,PFNA,PFDA,PFUnDA,PFHxS,PFOA,PFBS,PFOS,PSI 1st tri,PSI 2nd tri,PSI 3rd tri ,PSI pregnancy ,PM2.5 1st tri ,PM2.5 2nd tri,PM2.5 3rd tri,PM2.5 pregnancy 
Linolenic acid (n-3)  ,-0.0225934,-0.1385642,-0.1010355,-0.0458333,0.0587588,-0.0959329,0.0589812,0.0346895,0.0318428,-0.0466637,-0.056908,-0.0464937,-0.0128338,-0.0041269,-0.2286759,-0.1419799,0.0269935,0.0274983,-0.1453431,-0.0603415,-0.0065781,-0.1346748,-0.0270631,-0.0517652,-0.0300497,0.5679923,0.5966057,0.4622318,0.5713712,0.5124787,0.4461697,0.5818854,0.6516571,1,0.2400333,0.408671,0.5402188,0.4654369,0.4763177,0.4564218,0.4898732,0.3797615,0.5278807,0.5166944,0.5586505,0.6246043,0.6167722,0.5991229,0.6063907,0.5198198,0.6267497,0.0636998,0.1703711,0.0970552,0.1294,-0.0705525,-0.0519768,0.1119169,0.0179366,0.0440822,-0.0062303,0.0197521,0.0266284,-0.0785936,0.0430602,-0.0226672,0.0348346,-0.0066692,0.004066,0.1265975,-0.055729,0.0462439,0.0123804,0.016582,0.0078705,-0.1150801,0.0595606,0.0450517,0.1105596,0.0979254,0.0046475,-0.0231867,-0.0469136,-0.034557,0.0668814,-0.0233123,-0.0210792,0.0663801,0.0945863,-0.033713,0.0143071,0.0473023,-0.008083,0.0001011,-0.0574334,-0.0989519,-0.1270448,0.0676939,0.1482706,-0.2602075,-0.0336364,-0.037948,-0.0374845,-0.0414134,0.0523976,0.0340506,-0.2302043,-0.1271564,-0.0366746,-0.0456259,0.1017532,-0.0051974,-0.0038543,0.0903,-0.0621941,0.0154393,0.0011116,0.0264136,0.1396898,-0.0338961,0.0160052,-0.0117265,0.1361599,0.0725356,0.1149272,0.0336199,-0.1753533,0.3120924,-0.2685397,-0.1739749,-0.2981421,0.0452713,-0.2159315,-0.2024476
Arachidic acid ,-0.0178079,0.0587958,0.0303766,-0.0329264,0.0198907,-0.0028062,-0.0584843,-0.0222266,-0.0053494,-0.0062896,-0.0316269,-0.0420746,-0.0135537,-0.0247706,0.0250037,0.0165075,0.080607,-0.119474,0.1113508,0.0114018,-0.0286218,0.0914557,0.1231867,0.0454111,-0.0398154,0.4840294,0.3521345,0.3480203,0.4650845,0.4711544,0.4172971,0.3489381,0.1250276,0.2400333,1,0.4181466,0.4717934,0.394441,0.2757301,0.1838737,0.2389152,0.2263252,-0.1014349,0.3413544,0.1668349,0.4020528,0.2383634,0.3758107,0.3941672,0.4714707,0.360049,-0.0078371,0.048687,-0.0262607,0.0690262,0.0328091,-0.0246655,-0.0467641,0.0638588,-0.0466426,-0.0252748,-0.0013471,-0.0398306,0.0269857,-0.0498959,0.0331649,-0.0127836,-0.0470024,0.0269028,0.0476965,0.0483466,0.0543387,0.0220501,-0.0314483,0.0090303,0.0660225,0.0020012,0.0392387,0.0616811,-0.0155542,-0.0719859,-0.06695,-0.008038,-0.0158963,-0.0238083,-0.015724,-0.0590749,0.0501182,-0.0155779,-0.0429677,-0.0322808,-0.0359826,-0.0352869,0.0196194,0.0353122,0.1093893,0.0601226,0.0261569,-0.1067042,0.1691281,0.1819884,-0.0407653,0.1043109,-0.0179431,-0.0467437,0.10852,0.1762994,0.0618158,-0.1138717,0.0370184,-0.0280565,0.1431172,-0.0456293,-0.0690182,0.0031379,-0.1400236,-0.0074062,-0.0409443,0.0369701,0.0375288,0.0149377,0.0154936,0.0116267,-0.0040103,-0.0655607,0.0623978,-0.1351628,0.029095,-0.0026897,-0.0464417,0.0791694,0.208628,0.0468066,0.164553
Gondoic acid ,-0.0088068,0.018042,0.0099143,-0.0526044,0.0325553,-0.0874968,-0.0395546,0.0151038,-0.0326564,0.0171928,-0.054329,-0.0493048,-0.047254,-0.0541543,-0.1233768,-0.0216213,0.1080824,-0.0673704,0.0040824,0.0070388,-0.0568974,-0.029082,0.1239275,0.0610585,-0.0191762,0.4857703,0.6127508,0.4324577,0.6474553,0.6646981,0.7180774,0.6058867,0.2846721,0.408671,0.4181466,1,0.6704361,0.4764137,0.516868,0.2556036,0.4597647,0.4252735,0.1086276,0.535517,0.4346273,0.6577209,0.5134164,0.6184877,0.6385358,0.6877132,0.6242192,0.008393,0.1966831,0.1275465,0.1723094,0.0520422,-0.0366208,0.0160286,0.0354531,-0.0663837,-0.0314908,-0.0118566,-0.0326501,-0.0424541,0.0042096,0.0465873,-0.0032708,-0.0052929,0.0640653,0.0633558,0.0136403,-0.0062002,0.0880399,0.0551236,0.0594518,0.0082129,0.020368,0.0962398,0.0088671,0.0958542,-0.0009463,-0.038934,-0.0544973,0.0635107,0.0187957,-0.0337669,-0.0347112,0.0471864,0.0060214,-0.0099822,0.0227439,0.0569138,0.0627467,-0.0091716,-0.0106572,0.0931587,0.050396,0.0000349,0.0344187,-0.0219929,0.1205897,0.0072113,0.0387956,-0.0470139,0.0504801,0.080434,-0.0008399,0.0398201,-0.1216552,-0.0624024,0.06619,0.0952611,-0.1082932,-0.0020353,-0.1432285,-0.0440786,-0.0192917,-0.0271844,0.0695746,0.0715481,0.1542214,0.1445476,0.0326581,0.0271442,-0.0504055,0.1263466,-0.1860052,0.1799936,-0.1272325,-0.1143509,-0.0747316,0.158128,-0.0374306,0.0268137
Eicosadienoic acid  ,-0.002072,0.0211953,0.0131327,-0.0080124,0.0210145,-0.0296683,0.0308289,0.0251505,0.0204505,-0.0196312,-0.0381944,-0.0098314,0.0199466,0.0125405,-0.2092324,-0.0931014,0.1180959,-0.0621441,-0.0329938,0.0126656,0.0122487,-0.0490502,0.1038313,0.0120845,-0.0668747,0.6628207,0.7697677,0.6373176,0.7916583,0.7881609,0.8006615,0.7930658,0.4649852,0.5402188,0.4717934,0.6704361,1,0.6928491,0.6179975,0.2523126,0.4836078,0.3502852,0.1765502,0.6176058,0.5626014,0.8205096,0.5959641,0.8087482,0.794651,0.8046373,0.8004267,0.1568266,0.2223881,0.1050898,0.1707953,0.001808,-0.0711299,0.059414,0.02393,-0.077548,-0.0156925,0.0229972,-0.0199441,-0.0687404,-0.0504258,0.0359997,0.0427828,-0.0124464,0.1033246,0.0375968,0.0253521,0.0199656,0.032903,-0.004924,0.0661542,0.0264778,0.0618314,0.1113211,0.0968656,0.0752045,-0.0410617,-0.0270038,-0.1448848,0.0566957,0.0140251,-0.0585961,-0.0341064,0.0556002,0.0501722,-0.0123391,0.070414,0.0228426,-0.0110978,0.0068243,-0.0020785,0.0300278,0.000431,0.0256629,0.029004,0.0220328,0.046605,-0.0211763,0.0094952,-0.0444379,0.0209863,0.0493848,-0.0572974,-0.0393482,-0.0828645,-0.0362429,0.0484445,0.0439767,-0.0418568,-0.0052968,-0.0626129,-0.0973106,0.0081061,-0.0000474,0.1511803,0.0366465,0.0690009,0.0443332,0.0616353,0.0679473,0.0026806,0.0682688,-0.1920634,0.2346595,-0.2629377,-0.1830676,-0.1330288,0.2295893,-0.14858,0.0056948
DGLA ,0.1407121,0.107147,0.1303752,0.183867,-0.0169404,0.186337,0.2507538,0.2203682,0.2242364,0.1040289,0.1781981,0.1672453,0.1848146,0.1811628,-0.2357115,-0.1876544,0.1204882,-0.019016,-0.0018139,-0.040472,0.0429314,0.1172135,0.065841,-0.0387467,-0.0418153,0.6488722,0.7260936,0.7246222,0.7397082,0.7187974,0.6399668,0.6659619,0.5090327,0.4654369,0.394441,0.4764137,0.6928491,1,0.7661031,0.3159873,0.5022471,0.265131,0.2289334,0.4792799,0.5103741,0.7822816,0.5390038,0.7980126,0.7483326,0.7333165,0.7793323,0.2493946,0.1651838,0.0327655,0.0911542,-0.016295,-0.0359349,0.027599,0.0275555,0.0231814,0.027111,0.0484599,0.0265375,-0.0855251,-0.1322145,-0.0128218,0.0241172,0.0843068,0.0125495,0.0268844,-0.1391188,0.0431568,-0.0223997,-0.0963643,0.0588221,0.0063145,0.0420374,0.0260189,0.0825139,0.0592087,0.0219711,-0.0648392,-0.0381962,-0.0282641,0.0541331,-0.0017681,-0.0101969,0.0400482,0.0523721,-0.0519867,0.0942519,0.0486284,-0.0805618,0.0973241,0.0183992,-0.1908829,-0.0421293,0.0123555,0.1361935,-0.085181,-0.0874244,-0.0809316,0.042039,-0.0223372,-0.0843363,-0.0482309,-0.1072736,-0.072354,0.0547654,0.0889968,0.0034526,-0.0620519,0.1062755,-0.0808725,0.1669773,-0.1642375,0.1193518,0.036961,0.1171375,-0.1058187,-0.1124676,-0.1215141,0.0344903,-0.006457,-0.0275535,-0.0796587,-0.1741888,0.259373,-0.2837343,-0.1775605,-0.1391098,0.2085589,-0.1502751,-0.0138662
Arachidonic ,0.1038801,0.0356251,0.0699447,0.0879049,0.0033054,0.0598542,0.1461855,0.1471819,0.1449787,0.072072,0.1148335,0.0846979,0.0942541,0.0941599,-0.2650724,-0.2046522,0.0383913,-0.0124732,-0.0324521,-0.0341518,0.0354988,0.0245902,0.0335099,-0.0367531,-0.0366236,0.5240369,0.8293452,0.5607123,0.789411,0.7130641,0.7259385,0.7312402,0.5755885,0.4763177,0.2757301,0.516868,0.6179975,0.7661031,1,0.3339777,0.3642627,0.40214,0.3259021,0.5965971,0.7137572,0.8599454,0.7131631,0.8635157,0.8375475,0.7230608,0.8731444,0.1041313,0.1375235,0.0610689,0.0927367,-0.0147726,-0.0299856,0.0604196,-0.0205655,0.0087131,0.0026317,0.0434246,0.0091731,-0.0757688,-0.0166787,0.0397956,0.0341208,0.0759274,0.030373,0.0425876,-0.0265335,0.008728,0.0490073,-0.0448821,0.024418,-0.0792546,0.0761232,0.0610109,0.0548626,0.1111196,0.0448431,-0.0903476,-0.0517782,-0.0097847,0.0612096,-0.0192105,-0.0435269,0.0640085,0.0594719,-0.0532853,0.0828237,0.0547615,0.0024725,0.0947114,0.0395904,-0.133637,-0.0221248,-0.0024181,0.1609507,-0.1115779,-0.0479596,-0.0688697,0.0011489,-0.0447036,-0.0090951,-0.0173807,-0.1635675,-0.117641,-0.001065,0.0109003,0.0086508,-0.0382319,0.0423249,-0.0649961,0.0843751,-0.1315305,0.0105407,0.0237095,0.1912059,-0.0776809,-0.0335392,-0.0064266,0.0356893,0.0332926,0.0249425,-0.0246956,-0.1739771,0.2794217,-0.3233155,-0.1889919,-0.1936211,0.1817156,-0.180531,-0.0664242
Behenic acid,0.0492813,-0.067616,-0.0288472,0.0293311,0.0185444,0.0132251,0.0892139,0.1301368,0.0817468,-0.0012029,0.0093635,0.0156285,0.0222332,0.0159253,-0.0565251,-0.0302245,0.0784077,0.0418941,-0.0553841,-0.0495045,0.0227051,0.0303241,-0.0304213,0.0397094,-0.0977695,0.1905486,0.3446124,0.2092847,0.2974175,0.273543,0.2333734,0.3289805,0.4014802,0.4564218,0.1838737,0.2556036,0.2523126,0.3159873,0.3339777,1,0.2789872,0.2052911,0.4205875,0.2744527,0.3500025,0.3624206,0.359634,0.3629571,0.3452852,0.2749505,0.3776157,0.1012821,0.0842196,0.019588,0.0392421,-0.1061383,-0.0830228,0.0601083,0.0600548,0.0354777,-0.0643751,-0.0446096,-0.038902,-0.089286,-0.0422319,-0.0010204,-0.0600622,-0.0657841,-0.0536338,0.0389923,-0.0382203,0.0383464,0.0196231,-0.0275134,0.0357638,-0.0750955,0.0334444,0.0100275,0.0049614,0.0264541,0.0133257,-0.0589138,-0.031875,-0.0116142,-0.0426769,-0.0750564,-0.0259105,0.0223723,0.0192607,0.0423402,0.0707784,0.0133868,-0.0148881,0.0157199,-0.0331272,-0.1234846,-0.0915006,0.0258221,0.1382117,-0.2507196,-0.0475831,-0.0975328,-0.0432526,-0.0432552,0.0582122,0.0243519,-0.2045089,-0.0423125,-0.0136457,0.0263619,0.0834766,-0.014149,0.0249238,-0.0593004,0.0134526,-0.1141932,0.0823828,-0.0404856,0.0203886,0.0366006,0.0533735,0.0268471,0.1292183,0.1111613,-0.0237665,0.0000827,0.0021119,0.0916642,-0.0311896,0.0091715,-0.1685935,-0.0773347,-0.0380678,-0.134048
ETA ,0.0243645,-0.0609515,-0.0280818,0.0629671,0.0310275,0.0660813,0.1537545,0.112803,0.1607309,0.1004735,0.0365479,0.0600916,0.0907505,0.0932427,-0.1259353,-0.0515855,0.1876242,0.0459871,-0.0443344,0.0266647,0.0357149,-0.0619864,0.0560107,0.1449855,-0.0754758,0.5413427,0.4631703,0.5672492,0.4810941,0.4883717,0.4066497,0.3828577,0.3334091,0.4898732,0.2389152,0.4597647,0.4836078,0.5022471,0.3642627,0.2789872,1,0.5051065,0.2796063,0.5564757,0.4132144,0.4947997,0.530037,0.4299577,0.479375,0.5077647,0.4734037,0.1178456,0.1934732,0.2403399,0.0835203,-0.0038329,-0.0323168,0.1190396,0.0530812,-0.0109407,0.040924,0.0758677,0.0655066,-0.0201417,-0.0243996,0.0740571,-0.0644739,-0.038014,0.0924856,0.0181288,0.01355,0.0040767,-0.0037094,-0.0843188,-0.0473714,-0.0000851,-0.0111835,0.0898636,0.0611347,-0.0200056,-0.0433612,0.0168489,-0.145968,0.0346189,0.1025034,-0.0685398,-0.0462428,0.0604161,0.1483663,-0.0656939,0.1163221,-0.051394,0.0144713,-0.0161995,0.0186693,-0.1006814,-0.0581475,0.0139105,0.0294827,-0.1411676,-0.0619797,-0.0138337,0.0122386,0.0314556,0.042562,-0.0314901,-0.099733,-0.0400947,0.0027134,0.0148515,0.0156387,-0.0573722,-0.0123525,0.0142006,0.0114404,-0.0048549,0.055934,-0.0913524,-0.0069062,0.0731529,0.2018493,0.1989048,0.1859196,-0.0233277,-0.0559517,0.1895075,-0.0697159,0.1415955,-0.080684,-0.0303986,-0.0987023,0.0011693,-0.0470719,-0.0701568
EPA ,0.0295443,-0.025982,-0.0066056,-0.0075871,0.04855,-0.0063196,0.0382373,-0.0309934,0.0491556,0.0604837,-0.0357506,0.0051813,0.0223136,0.0125195,-0.1378553,-0.0070763,0.0786705,-0.0819919,-0.0374942,0.0807641,0.0508056,-0.1077213,0.1448002,0.2375909,0.0068127,0.3943086,0.451196,0.3168554,0.4647147,0.4110992,0.478057,0.3293386,0.2392009,0.3797615,0.2263252,0.4252735,0.3502852,0.265131,0.40214,0.2052911,0.5051065,1,0.0742056,0.7491973,0.5774939,0.4727012,0.7273638,0.3702796,0.4649572,0.4277125,0.4663663,-0.0133451,0.1301311,0.2385586,0.056197,0.0204812,0.0150637,0.1816952,0.1104328,-0.1205665,0.0529586,0.1244919,0.0763633,0.0938977,0.218022,0.1792226,0.0045249,0.0045346,0.2274875,0.026734,0.2677919,-0.0633951,0.1285533,-0.0546712,-0.1692785,-0.0145133,0.0521832,0.1533639,0.0199837,-0.0236313,-0.1095498,0.0284952,-0.1485947,0.1021793,0.1275769,-0.0856524,-0.0310172,0.1393295,0.1893319,-0.0644685,0.1220092,-0.031755,0.1788627,0.0359842,0.1121751,-0.0219234,-0.0477741,0.01491,0.0384932,-0.0761566,-0.008044,-0.0621167,-0.0112715,0.0961688,0.1064071,-0.0319408,-0.1050987,-0.0511805,-0.0488786,-0.0811581,0.026937,-0.0304129,-0.0069268,0.0451085,-0.0475818,-0.0179859,0.0634924,-0.0955966,0.1256058,0.1701369,0.2724374,0.3244772,0.1410911,0.0556022,-0.0230188,0.2319808,-0.2243154,0.2157186,-0.2199479,-0.2092986,-0.1741823,0.0846987,-0.1956656,-0.1215374
Adrenic acid ,0.0149058,-0.1483929,-0.0888295,-0.0070693,0.0169462,-0.0978912,0.1062049,0.1526516,0.0851622,-0.0249593,0.0013583,-0.0085991,-0.0030611,0.0036445,-0.1545654,-0.1373388,-0.0290812,0.1351313,-0.1696751,-0.0039077,0.030314,-0.0936825,-0.181127,-0.1136499,-0.0822918,0.1607842,0.3299093,0.1779512,0.2433564,0.1828941,0.1340003,0.3528853,0.5683741,0.5278807,-0.1014349,0.1086276,0.1765502,0.2289334,0.3259021,0.4205875,0.2796063,0.0742056,1,0.2375506,0.4664837,0.3441268,0.43277,0.3682896,0.3178018,0.184759,0.4008461,0.0582649,0.1611427,0.0409467,0.1411099,-0.1621568,-0.0731717,0.0911598,-0.0334866,0.0136324,-0.0081152,-0.0254383,0.0216355,-0.1205739,0.0001021,-0.1096298,0.0273446,-0.0039118,-0.0716214,0.0970899,-0.0976934,0.0185093,-0.0487529,0.0665897,0.0222833,-0.1257973,0.0866528,-0.0017442,0.069063,0.1393916,0.1178584,-0.0979263,0.0185527,-0.0220354,0.0053855,-0.0412593,-0.0412275,-0.0458527,-0.0377245,0.0285267,0.0441382,0.0588146,-0.0999986,-0.0029693,-0.1012752,-0.1139934,-0.0573844,-0.0066696,0.1669796,-0.2128184,-0.0631133,-0.008949,-0.1262834,-0.1015907,-0.0086481,-0.0625858,-0.3224734,-0.1888666,0.0250055,-0.0471014,0.1531738,-0.1090598,0.0124438,0.0987487,-0.0565732,0.0547927,-0.0117612,-0.0371561,0.1218055,-0.0289967,0.002856,-0.019229,0.1076595,0.0631011,0.2053414,-0.0030402,0.0830269,0.075728,-0.0087126,0.0852254,-0.2188258,-0.2237024,-0.0434451,-0.2317809
DPA ,-0.0191868,-0.0815249,-0.0613135,-0.0776171,0.0429226,-0.0935515,0.0060129,-0.0247103,0.0051412,0.0074282,-0.1242927,-0.0725042,-0.055355,-0.0597304,-0.1882167,-0.0681652,0.1132559,-0.061638,-0.0290647,0.1168677,0.0486772,-0.1418841,0.1355912,0.1466978,-0.0356307,0.576574,0.6948376,0.5524204,0.693468,0.6852918,0.6815486,0.6111014,0.4476241,0.5166944,0.3413544,0.535517,0.6176058,0.4792799,0.5965971,0.2744527,0.5564757,0.7491973,0.2375506,1,0.7307148,0.7300508,0.8283273,0.6451756,0.7102248,0.6967351,0.7158995,0.0907473,0.2163746,0.2139332,0.1395666,0.0300968,-0.022114,0.1393177,0.0390036,-0.1498462,0.0395283,0.1150603,0.06363,0.0179126,0.1388777,0.1298456,-0.0078866,-0.0081416,0.1490853,0.0361753,0.1524861,-0.0487408,0.045489,-0.066057,-0.121457,-0.0153052,0.0387773,0.1399143,0.086608,0.0418474,-0.0743873,-0.0346295,-0.1759306,0.0463824,0.0973036,-0.0904389,-0.1140902,0.175873,0.1576156,-0.019364,0.1079123,-0.0519205,0.0449562,0.0016298,0.0630885,0.0240337,0.0013739,0.0345301,0.0019139,-0.0410179,0.0296,-0.0668759,-0.0327688,0.011815,0.0732685,0.0276064,-0.1088272,-0.0594966,-0.1317646,-0.1386249,0.0041795,0.0167272,-0.0849706,0.0667419,-0.1211911,-0.0263782,-0.0102712,-0.0912193,0.1391064,0.0748029,0.2001888,0.2429235,0.1034452,0.0365028,-0.0178245,0.1880864,-0.1935804,0.2218721,-0.2408322,-0.1883946,-0.1522078,0.1351589,-0.1696798,-0.0649332
DHA,0.046484,-0.1065116,-0.0509373,-0.0010148,0.0139462,-0.055213,0.1143668,0.1055004,0.1282861,-0.0121916,-0.0044883,0.008707,0.0193295,0.0147843,-0.2612881,-0.1508751,-0.0353953,-0.005155,-0.1406442,0.0370781,0.0528258,-0.1111006,0.0104199,0.0222499,-0.0516196,0.4513014,0.7602467,0.4665322,0.6548406,0.6323979,0.6753599,0.6913884,0.5844642,0.5586505,0.1668349,0.4346273,0.5626014,0.5103741,0.7137572,0.3500025,0.4132144,0.5774939,0.4664837,0.7307148,1,0.7805837,0.9632586,0.7268879,0.7504853,0.6424369,0.8091684,0.1110754,0.1952476,0.1027248,0.1399184,-0.0323,0.0160136,0.1377411,-0.0250246,-0.1413173,0.0460204,0.0910309,0.0857685,-0.032799,0.1147937,0.0757228,-0.0095525,-0.0028736,0.0881561,0.0695937,0.0990092,0.0313053,0.0611072,-0.0615492,-0.0801189,-0.139266,0.0897655,0.115716,0.0551468,0.0932958,0.0293001,-0.0484308,-0.0927104,0.0583441,0.0870991,-0.0428356,-0.0270189,0.0790002,0.0880639,0.011706,0.1714809,0.0882099,0.0516579,0.0491915,-0.0041419,-0.0858825,-0.0623419,0.0624069,0.1846336,-0.1214557,-0.0376471,-0.0656964,-0.0503214,-0.0506507,0.0336952,-0.0332205,-0.2408881,-0.231791,-0.0299106,-0.1364664,0.1144659,-0.0451565,0.0468288,0.021838,-0.0387947,-0.0747016,-0.005853,-0.0032563,0.2135164,0.0623738,0.1068928,0.1469978,0.143041,0.1118128,0.1095177,0.1109376,-0.1018508,0.2029093,-0.2930857,-0.1693417,-0.2532085,0.0445328,-0.2171452,-0.168871
Total FA ,0.0603605,0.0109011,0.0342522,0.0373242,-0.006292,0.0047518,0.1045279,0.1038733,0.1079776,0.0203693,0.0256556,0.0291041,0.0547815,0.0525906,-0.275787,-0.1898389,0.0917359,-0.0448304,-0.0622038,-0.0278362,-0.0024163,-0.0552506,0.0462078,-0.0013718,-0.0612267,0.704516,0.9762191,0.706533,0.9201481,0.8982704,0.8519682,0.923455,0.63076,0.6246043,0.4020528,0.6577209,0.8205096,0.7822816,0.8599454,0.3624206,0.4947997,0.4727012,0.3441268,0.7300508,0.7805837,1,0.798535,0.966044,0.9862422,0.9056847,0.9764479,0.1722903,0.2075966,0.1003074,0.1462976,0.0012163,-0.0487826,0.0773162,-0.0063471,-0.0817536,0.0169313,0.0578729,0.0154673,-0.0923273,-0.00334,0.0264948,0.0373572,0.0311154,0.0788113,0.0485642,-0.0070139,0.0204972,0.0485717,-0.0294777,0.0300483,-0.0408895,0.0681207,0.1133615,0.058859,0.0958773,0.0222839,-0.0654785,-0.1165165,0.033615,0.0300624,-0.0494417,-0.0389473,0.0640332,0.0348479,-0.0427349,0.0881922,0.0469811,-0.0010578,0.0525346,-0.0117174,-0.0629612,-0.0162843,0.0431751,0.1227872,-0.0731666,-0.0322322,-0.0539611,0.0118175,-0.0327512,-0.0197551,-0.0069873,-0.1335352,-0.109879,-0.0241624,-0.030937,0.0652453,0.0000902,0.0370939,-0.0330917,-0.0137286,-0.129435,-0.0072778,0.0070316,0.1899965,-0.037009,0.0149731,0.0234532,0.0637888,0.0463625,0.0366609,0.0553171,-0.2037718,0.2870289,-0.3133231,-0.1920338,-0.2006663,0.1894438,-0.1947294,-0.063245
Total n-3,0.0300579,-0.1099551,-0.0598326,-0.0122941,0.0286013,-0.0598662,0.0898175,0.0659686,0.1036809,-0.0034468,-0.0214569,-0.0025005,0.0137515,0.0093931,-0.2494225,-0.1333787,-0.0023034,-0.0194638,-0.1185216,0.0495502,0.0458193,-0.1224803,0.0445348,0.0638872,-0.0361355,0.5217046,0.7710577,0.4992637,0.6956005,0.6593271,0.6987943,0.6821595,0.5787465,0.6167722,0.2383634,0.5134164,0.5959641,0.5390038,0.7131631,0.359634,0.530037,0.7273638,0.43277,0.8283273,0.9632586,0.798535,1,0.7290892,0.7699015,0.6731625,0.8196634,0.0811617,0.1996704,0.1380349,0.1406949,-0.0259638,0.0014325,0.1653648,0.008534,-0.1248875,0.042175,0.0961018,0.0815303,-0.0175369,0.1345562,0.097808,-0.0055076,0.0105079,0.108342,0.0778807,0.1253779,0.020373,0.0699794,-0.0612542,-0.0943007,-0.1210416,0.0780932,0.1199562,0.069874,0.0803085,0.0111876,-0.0323985,-0.1012473,0.0621243,0.1151347,-0.0468752,-0.035414,0.1049994,0.1256048,-0.0122151,0.1588991,0.0566646,0.0694271,0.0445906,0.0173424,-0.0725902,-0.0672514,0.0550233,0.1592391,-0.1319518,-0.0208979,-0.0711298,-0.0468955,-0.0317576,0.0538261,-0.0263656,-0.2314046,-0.2042769,-0.054228,-0.1368706,0.0938809,-0.0390189,0.0143038,0.0354265,-0.0518335,-0.0615684,-0.0025492,-0.0221197,0.2084603,0.0781633,0.1426034,0.1848784,0.1430272,0.0962134,0.0860559,0.1427405,-0.1570029,0.2370736,-0.301951,-0.2000707,-0.257029,0.0702895,-0.2250911,-0.1664423
Total n-6 ,0.068503,0.0067944,0.0344582,0.0672685,0.0017605,0.02104,0.1195178,0.1214769,0.1171175,-0.0054205,0.0612187,0.0542824,0.0811569,0.0791723,-0.2873353,-0.2079648,0.0545101,-0.0278652,-0.0733735,-0.0429897,-0.008366,-0.0340064,0.0232404,-0.0652869,-0.050117,0.6411031,0.9151754,0.6397959,0.8739703,0.8241604,0.7929959,0.9640643,0.6438807,0.5991229,0.3758107,0.6184877,0.8087482,0.7980126,0.8635157,0.3629571,0.4299577,0.3702796,0.3682896,0.6451756,0.7268879,0.966044,0.7290892,1,0.9271221,0.8315419,0.9879648,0.1460938,0.1785184,0.0761514,0.1285238,-0.0127982,-0.0659586,0.0554873,-0.0168912,-0.0536823,0.0081596,0.0410719,0.0000493,-0.1039748,-0.0326278,0.0133868,0.0508355,0.0449779,0.0549006,0.0593102,-0.037522,0.0284966,0.035621,-0.030178,0.0560853,-0.0419999,0.0726372,0.093688,0.0664399,0.1083854,0.0408059,-0.0677939,-0.1030858,0.0090007,0.0222358,-0.0495295,-0.0304737,0.0360246,0.0183577,-0.0213811,0.0829166,0.0809254,-0.0449896,0.0642134,-0.0242917,-0.0801787,-0.0109383,0.0464213,0.154725,-0.1029955,-0.0473788,-0.0649006,-0.0081833,-0.0426094,-0.0329303,-0.0101682,-0.1511376,-0.1148192,-0.0170681,-0.0125008,0.0654156,-0.0195528,0.0402421,-0.0463099,0.0274491,-0.14702,-0.0057617,0.026432,0.1981122,-0.0835198,-0.0535446,-0.0601669,0.0342823,0.0558081,0.0479874,-0.0175577,-0.1819451,0.2867756,-0.3292516,-0.19987,-0.2142169,0.1817792,-0.2155245,-0.0786904
